#NAME?,,,,,,,,,,,,,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,10.64,9.62,9.09,9.26,8.93,8.62,8.33,7.94,8,7.06,6.98,6.82,6.52,6.82,6.59,6.74,6.82,6.82,6.59,6.52,6.52,6.52,6.52
Austria,3.85,3.85,3.85,3.85,3.85,3.7,3.7,3.57,3.57,3.57,3.57,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.33
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,5.23,4.94,4.6,4.49,4.42,4.04,4.31,4.35,4.35,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.35,4.35,4.35,4.35
Chile,19.05,22.73,22.73,22.73,22.73,20.83,19.23,17.24,16.67,17.65,17.65,17.65,17.65,18.18,20,24.32,24.32,23.68,23.68,23.68,23.68,23.68,23.68
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,44,42.31,37.93,35.48,35.48,35.48,33.33,33.33,33.33,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26,32.26
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,3.08,2.99,4.11,6.67,6.49,6.41,6.17,4.71,4.71,4.76,4.71,4.71,4.71,4.76,4.76,5.88,5.88,5.88,5.88,5.88,5.88,5.81,5.81
Estonia,8,11.54,11.54,14.29,14.81,14.29,14.29,14.81,13.79,13.79,13.79,13.79,14.29,13.79,13.79,13.79,13.79,16.13,16.13,16.13,16.13,15.63,15.63
Finland,12.12,12.12,11.59,11.59,12.68,12.5,12.86,12.86,12.86,12.86,12.86,12.5,12.68,12.68,12.68,14.86,16.22,14.86,14.67,14.47,13.41,12.35,12.66
France,10,9.68,9.68,12.5,13.33,13.89,12.2,11.9,11.11,10.64,12,11.32,11.32,11.11,10.71,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53
Germany,4.17,4.17,4.17,4.17,3.85,3.45,3.45,3.45,3.13,3.13,3.03,2.86,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78
Greece,5.56,5.56,5.26,5,5,4.76,4.76,4.76,4.76,4.76,4.55,4.55,4.35,4.35,4.35,4.35,4.35,4.35,4.17,4.17,4.17,4.17,3.85
Hungary,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,21.05,21.05,20,20,20,19.05,22.73,22.73,18.18,17.39,16,16,16,16.67,16.67,16.67,16.67,17.39,17.39,17.39,17.39,17.39,17.39
Ireland,16.67,12.5,10,10,10,9.09,9.09,16.67,13.33,11.76,10,8.33,11.54,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11,11.11
Israel,25,23.33,21.88,21.88,21.21,20.59,20,19.44,18.92,17.95,17.95,17.5,17.5,17.5,17.07,17.07,16.67,16.28,15.91,15.91,15.91,15.91,15.91
Italy,2.86,4.65,4.35,4.35,4.17,4.08,4.08,3.77,3.51,3.17,3.28,3.28,3.17,3.13,3.08,3.08,3.03,3.03,2.99,2.82,4.05,3.8,3.8
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea,2.22,4.08,5.66,5.66,5.66,5.56,5.56,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02
Latvia,4.55,4.55,8.33,8.33,7.69,7.69,7.41,9.68,9.68,9.38,9.09,8.33,8.57,8.57,7.69,7.14,7.14,7.32,7.32,7.5,7.32,7.32,7.32
Lithuania,12.5,12,11.11,10,10,9.68,9.68,9.68,10,10,9.68,10,10,9.68,9.68,12.5,12.12,12.12,12.12,12.12,11.76,11.76,11.76
Luxembourg,8.33,8.33,8.33,8.33,8.33,7.69,7.69,5.56,5.56,5.26,5,5,5,5,5,5,5,5,5,5,5,5,5
Mexico,10,10,9.52,9.52,9.52,9.09,9.09,8.7,8.7,8.7,8.7,8.7,8.33,8.33,8,7.41,7.14,7.14,7.69,7.69,7.69,7.69,7.69
Netherlands,9.68,9.38,8.57,11.43,11.76,11.11,11.11,12.82,12.2,11.9,11.9,12.82,12.5,13.51,11.43,11.43,11.76,14.29,14.29,13.51,12.5,11.9,11.9
New Zealand,12.5,12.5,11.76,11.11,10.53,10.53,10.53,14.29,11.11,8.82,8.82,8.57,5.56,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71
Norway,9.09,8.82,8.57,8.33,10.81,10.53,10.53,14.29,14.29,16.28,16.28,16.28,16.28,16.28,16.28,16.28,13.95,13.95,13.95,13.95,13.95,13.95,13.95
Poland,4.35,3.7,3.45,3.57,3.45,3.23,3.13,3.13,3.13,3.03,2.94,3.03,2.78,2.63,2.63,2.63,2.56,2.56,2.33,2.22,2.22,2.22,2.22
Portugal,20,20,20,22.22,18.18,16.67,11.76,10,9.09,7.69,6.9,6.9,6.9,6.9,6.9,6.67,6.67,6.67,6.67,6.25,6.25,9.09,9.09
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63
