Aqua Production (Millions),Marine Protected Area (sqkm),Inventions (number),Instruments (number),Fishing Exports (Millions),Value,Country,Year
376896.5,485.1,12.0,5.0,1963.38,10.64,Australia,2000
55.25,5.65,0.33,0.0,739.13,0,Belgium,2000
24661.75,605.08,23.33,8.0,4431.0,5.23,Canada,2000
8849.75,2124.58,1.0,4.0,3118.12,19.05,Chile,2000
29421.75,235.18,0.0,0.0,321.71,0,Colombia,2000
58358.75,25.18,0.0,11.0,238.9,44,Costa Rica,2000
7678.0,235.24,9.83,2.0,4430.15,3.08,Denmark,2000
580.5,1.13,0.0,2.0,193.48,8,Estonia,2000
7172.5,89.87,3.0,8.0,26.78,12.12,Finland,2000
78823.0,607.16,19.0,3.0,1661.3,10,France,2000
9102.5,147.55,97.33,1.0,1617.02,4.17,Germany,2000
13845.25,444.12,1.0,1.0,337.71,5.56,Greece,2000
2772.5,20.08,2.0,4.0,1624.91,21.05,Iceland,2000
2784.0,157.25,3.0,1.0,492.98,16.67,Ireland,2000
0.0,43.93,5.5,7.0,11.68,25,Israel,2000
29997.0,726.15,3.5,1.0,611.07,2.86,Italy,2000
276987.0,3964.22,55.5,0.0,667.69,0,Japan,2000
5995.75,924.63,146.0,1.0,2066.94,2.22,Korea,2000
276.25,0.05,1.33,1.0,99.96,4.55,Latvia,2000
1048.5,0.09,0.0,3.0,66.34,12.5,Lithuania,2000
32079.75,255.45,1.0,2.0,879.79,10,Mexico,2000
7607.0,155.74,15.83,3.0,2086.28,9.68,Netherlands,2000
22591.75,203.06,1.0,2.0,1431.18,12.5,New Zealand,2000
3825.25,2448.86,36.5,3.0,6279.07,9.09,Norway,2000
346.0,36.87,6.0,1.0,396.91,4.35,Poland,2000
39010.25,82.35,1.0,2.0,466.74,20,Portugal,2000
6.52,5.1,0.0,0.0,9.95,0,Slovenia,2000
47672.0,537.53,19.0,5.0,2621.43,10.87,Spain,2000
5059.25,20.45,3.0,5.0,661.01,8.62,Sweden,2000
290.0,329.77,1.0,1.0,139.35,7.69,Türkiye,2000
8748.25,638.77,45.83,5.0,1759.03,22.73,United Kingdom,2000
111539.0,358.46,175.83,12.0,4184.73,2.45,United States,2000
4497.75,6.73,1.0,1.0,1122.76,16.67,  Argentina,2000
39701.25,134.63,1.0,0.0,438.1,0,  Brazil,2000
0.0,26749.96,54.0,0.0,8475.78,0,  China (People's Republic of),2000
237.25,1288.57,4.0,1.0,2262.25,0.76,  India,2000
54015.0,2902.28,0.0,5.0,3511.52,62.5,  Indonesia,2000
2702.75,300.89,0.0,8.0,316.92,47.06,  Malaysia,2000
2169.5,62.37,1.0,0.0,1893.78,0,  Peru,2000
2771.75,1062.11,1.0,5.0,778.21,45.45,  Philippines,2000
35811.5,168.9,25.33,0.0,4258.79,0,  Russia,2000
4765.0,3982.97,1.83,11.0,7682.07,84.62,  Thailand,2000
694.0,1369.59,0.0,2.0,4453.33,66.67,  Viet Nam,2000
406363.8,426.25,25.2,5.0,1174.06,8.62,Australia,2005
350.25,0.64,7.83,0.0,1017.92,0,Belgium,2005
32196.5,588.03,35.33,8.0,4071.14,4.04,Canada,2005
10177.0,4378.13,1.5,5.0,4110.23,20.83,Chile,2005
60890.5,220.37,0.0,0.0,233.63,0,Colombia,2005
58371.0,66.74,0.0,11.0,224.9,35.48,Costa Rica,2005
12282.5,130.04,19.5,5.0,3924.62,6.41,Denmark,2005
6529.5,3.4,0.0,4.0,181.38,14.29,Estonia,2005
7448.5,55.07,13.5,9.0,18.79,12.5,Finland,2005
80907.75,662.21,27.67,5.0,1621.4,13.89,France,2005
17487.25,116.3,103.37,1.0,1552.52,3.45,Germany,2005
